,Name,Rating,Reviews,Category,Address,Website,Phone,Time
22,Minetta Tavern,4.5,"2,046",French ,"113 MacDougal St, New York, NY 10012, United States",minettatavernny.com,+1 212-475-3850, Opens 12 pm
23,Benoit New York,4.4,893,French ,"60 W 55th St, New York, NY 10019, United States",benoitny.com,+1 646-943-7373, Opens 12 pm
24,The Modern,4.6,"1,874",New American ,"9 W 53rd St, New York, NY 10019, United States",themodernnyc.com,+1 212-333-1220, Opens 11:30 am
25,Ocean Prime,4.6,"1,886",Seafood ,"123 W 52nd St, New York, NY 10019, United States",prime.com,+1 212-956-1404, Opens 11:30 am
26,The Capital Grille,4.6,"1,617",Fine Dining ,"155 E 42nd St, New York, NY 10017, United States",thecapitalgrille.com,+1 212-953-2000, Opens 11:30 am
27,The Cabin NYC,4.2,273,New American ,"205 E 4th St, New York, NY 10009, United States",thecabinnyc.com,+1 212-777-0454,
28,TAO Downtown Restaurant,4.3,"4,293",Asian Fusion ,"92 9th Ave, New York, NY 10011, United States",taogroup.com,+1 212-888-2724, Opens 5 pm
29,Loi Estiatorio,4.6,527,Greek ,"132 W 58th St, New York, NY 10019, United States",loiestiatorio.com,+1 212-713-0015, Opens 12 pm
30,Frevo,4.8,412,Fine Dining ,"48 W 8th St, New York, NY 10011, United States",frevonyc.com,+1 646-455-0804, Opens 6 pm
31,La Rotisserie,4.5,404,Bistro ,"30 E 20th St, New York, NY 10003, United States",,+1 212-267-7426, Opens 5:30 pm
32,abc kitchen,4.4,"2,519",Restaurant ,"35 E 18th St, New York, NY 10003, United States",abckitchens.nyc,+1 212-475-5829, Opens 12 pm
33,ROBERT,4.5,"1,358",American ,"2 Columbus Cir, New York, NY 10019, United States",robertnyc.com,+1 212-299-7730, Opens 12 pm
34,Blue Ribbon Brasserie,4.6,778,American ,"97 Sullivan St, New York, NY 10012, United States",blueribbonbrasserie.com,+1 212-274-0404, Opens 5 pm
35,Peak Restaurant & Bar,4.5,"1,170",American ,"30 Hudson Yards 101st floor, New York, NY 10001, United States",peaknyc.com,+1 332-204-8547, Opens 11:30 am
36,Catch NYC,4.0,"3,497",Seafood ,"21 9th Ave, New York, NY 10014, United States",catchrestaurants.com,+1 212-392-5978, Opens 5:30 pm
37,The Blue Dog,4.3,"1,881",American ,"308 W 50th St, New York, NY 10019, United States",bluedognyc.com,+1 212-459-0700, Opens 8:30 am
38,Joe Allen,4.4,794,American ,"326 W 46th St, New York, NY 10036, United States",joeallenrestaurant.com,+1 212-581-6464, Opens 12 pm
39,Miznon,4.5,"2,240",Israeli ,"435 W 15th St, New York, NY 10011, United States",miznonnyc.com,+1 646-490-5871, Opens 11 am
40,Trattoria Trecolori,4.4,"2,245",Italian ,"254 W 47th St, New York, NY 10036, United States",trattoriatrecolori.com,+1 212-997-4540, Opens 12 pm
41,Salinas Restaurant,4.5,753,Spanish ,"136 9th Ave, New York, NY 10011, United States",salinasnyc.com,+1 212-776-1990, Opens 5:30 pm
42,Rintintin,4.1,600,Restaurant ,"14 Spring St, New York, NY 10012, United States",rintintinnyc.com,+1 646-666-0114, Opens 11 am
43,Gotham Restaurant,4.5,"1,249",New American ,"12 E 12th St, New York, NY 10003, United States",gotham.restaurant,+1 212-380-8660, Opens 12 pm
44,Bea,4.4,"1,680",American ,"403 W 43rd St, New York, NY 10036, United States",beanyc.com,+1 212-602-1910, Opens 5 pm
45,RH Rooftop Restaurant New York,4.5,"1,407",American ,"9 9th Ave, New York, NY 10014, United States",rh.com,+1 212-217-2210, Opens 10 am
46,The Smith,4.4,"4,893",American ,"1150 Broadway, New York, NY 10001, United States",thesmithrestaurant.com,+1 212-685-4500, Opens 8 am
47,Il Mulino New York - Uptown,4.3,380,Italian ,"37 E 60th St, New York, NY 10065, United States",imny.com,+1 212-750-3270, Opens 12 pm
48,Olive Garden Italian Restaurant,4.1,"5,940",Italian ,"2 Times Sq, New York, NY 10036, United States",olivegarden.com,+1 212-333-3254, Opens 11 am
49,wagamama,4.2,"1,763",Asian Fusion ,"210 5th Avenue at, W 26th St, New York, NY 10010, United States",wagamama.us,+1 212-920-6233, Opens 11 am
50,Balthazar,4.4,"6,265",French ,"80 Spring St, New York, NY 10012, United States",balthazarny.com,+1 212-965-1414, Opens 8 am
51,Gramercy Tavern,4.6,"3,386",New American ,"42 E 20th St, New York, NY 10003, United States",gramercytavern.com,+1 212-477-0777, Opens 11:30 am
52,15 EAST @ Tocqueville,4.4,576,French ,"1 E 15th St, New York, NY 10003, United States",15easttocquevillenyc.com,+1 212-647-1515, Opens 5 pm
53,Hutong New York,4.0,590,Chinese ,"731 Lexington Avenue, Inside Beacon Courtyard, New York, NY 10022, United States",nyc.com,+1 212-758-4800, Opens 12 pm
54,Balvanera,4.6,574,Argentinian ,"152 Stanton St, New York, NY 10002, United States",balvanerarestaurants.com,+1 917-746-1660, Opens 5 pm
55,Heidelberg Restaurant,4.4,"1,236",German ,"1648 2nd Ave, New York, NY 10028, United States",nyc.com,+1 212-628-2332, Opens 11:30 am
56,La Nacional,4.6,594,Spanish ,"239 W 14th St, New York, NY 10011, United States",lanacionalrestaurant.com,+1 917-388-2888, Opens 4 pm
57,Wolf at Nordstrom NYC,4.7,162,Italian ,"225 W 57th St, New York, NY 10019, United States",nordstrom.com,+1 212-295-2184, Opens 11 am
58,Max Restaurant,4.3,244,Italian ,"134 W Broadway, New York, NY 10013, United States",ny.com,+1 212-966-5939, Opens 5 pm
59,La Pulpería 44th HK,4.4,676,Latin American ,"623 9th Ave, New York, NY 10036, United States",lapulperianyc.com,+1 646-669-8984, Opens 4 pm
60,Wildair,4.4,463,New American ,"142 Orchard St, New York, NY 10002, United States",wildair.nyc,+1 646-964-5624, Opens 5 pm
61,Da Marino NYC,4.2,763,Italian ,"220 W 49th St, New York, NY 10019, United States",damarino.com,+1 212-541-6601, Opens 11 am
62,At Nine Restaurant & Bar,4.4,685,Thai ,"592 9th Ave, New York, NY 10036, United States",atninenyc.com,+1 929-442-1999, Opens 11 am
63,La Goulue New York,4.4,303,French ,"29 E 61st St, New York, NY 10065, United States",lagouluerestaurant.com,+1 212-988-8169, Opens 12 pm
64,Meijin Ramen,4.5,928,Ramen ,"1574 2nd Ave, New York, NY 10028, United States",meijinramen.com,+1 212-327-2800, Opens 12 pm
65,Little Owl,4.5,950,New American ,"90 Bedford St, New York, NY 10014, United States",thelittleowlnyc.com,+1 212-741-4695, Opens 11 am
66,Via Della Pace,4.5,663,Italian ,"87 E 4th St, New York, NY 10003, United States",viadellapacenyc.com,+1 212-253-5803, Opens 5 pm
67,L'Artusi,4.6,"1,570",Italian ,"228 W 10th St, New York, NY 10014, United States",lartusi.com,+1 212-255-5757, Opens 12 pm
68,Charlie Bird,4.4,768,Italian ,"5 King St, New York, NY 10012, United States",charliebirdnyc.com,, Opens 12 pm
69,Kochi,4.6,554,Korean ,"652 10th Ave, New York, NY 10036, United States",kochinyc.com,+1 646-478-7308, Opens 5 pm
70,The Flatiron Room Murray Hill,4.5,783,New American ,"9 E 37th St, New York, NY 10016, United States",theflatironroom.com,+1 212-725-3866, Opens 5 pm
71,North Fork Restaurant,4.2,253,American ,"122 Christopher St, New York, NY 10014, United States",northforknyc.com,+1 212-537-5847, Opens 4 pm
72,Oceans,4.7,405,Seafood ,"233 Park Ave S, New York, NY 10003, United States",oceansnewyork.com,+1 212-209-1055, Opens 11:30 am
73,Malibu Farm New York,4.1,793,Restaurant ,"89 South St, New York, NY 10038, United States",malibufarm.nyc,+1 212-265-3030, Opens 11 am
74,Osteria del Bianco,4.7,474,Italian ,"22 E 49th St, New York, NY 10017, United States",osteriadelbianco.com,+1 212-838-5972, Opens 12 pm
75,Koloman,4.4,182,Austrian ,"16 W 29th St, New York, NY 10001, United States",kolomanrestaurant.com,+1 212-790-8970, Opens 7:30 am
76,The Palm - Palm West,4.3,901,Steak ,"250 W 50th St, New York, NY 10019, United States",thepalm.com,+1 212-333-7256, Opens 11:30 am
77,Kaenoy Restaurant,5.0,1,Japanese ,"623 9th Ave, New York, NY 10036, United States",,+1 212-266-6715,
78,Il Fiorista,4.4,208,Italian ,"17 W 26th St, New York, NY 10010, United States",ilfioristanyc.com,+1 646-490-8240, Opens 4 pm
79,Il Cantinori,4.6,375,Italian ,"32 E 10th St, New York, NY 10003, United States",ilcantinori.com,+1 212-673-6044, Opens 12 am Sun
80,Junoon,4.3,"2,840",Indian ,"19 W 24th St, New York, NY 10010, United States",junoonnyc.com,+1 212-490-2100, Opens 11:45 am
81,Eataly NYC Flatiron,4.5,"8,589",Market ,"200 5th Ave, New York, NY 10010, United States",eataly.com,+1 212-229-2560, Opens 10:30 am
82,Pastis,4.5,"1,889",French ,"52 Gansevoort St, New York, NY 10014, United States",pastisnyc.com,+1 212-929-4844, Opens 8 am
83,Planta Queen,4.5,"1,261",Vegan ,"15 W 27th St, New York, NY 10001, United States",plantarestaurants.com,+1 917-675-7700, Opens 11:30 am
84,Coarse NY,4.5,298,Fine Dining ,"306 W 13th St, New York, NY 10014, United States",coarsenyc.net,+1 646-896-1404, Opens 5 pm
85,Hard Rock Cafe,4.4,"20,767",American ,"1501 Broadway, New York, NY 10036, United States",hardrockcafe.com,+1 212-343-3355, Opens 8 am
86,Kimika,4.0,298,Japanese ,"40 Kenmare St, New York, NY 10012, United States",kimikanyc.com,+1 212-256-9280, Opens 5 pm
87,queensyard,4.2,875,New American ,"20 Hudson Yards, New York, NY 10001, United States",queensyardnyc.com,+1 212-377-0780, Opens 11 am
88,Nocello,4.6,304,Italian ,"257 W 55th St, New York, NY 10019, United States",nocello.net,+1 212-713-0224, Opens 4 pm
89,Pershing Square,4.2,"3,794",American ,"90 E 42nd St, New York, NY 10017, United States",pershingsquare.com,+1 212-286-9600, Opens 7 am
90,Guantanamera,4.4,"2,482",Cuban ,"939 8th Ave, New York, NY 10019, United States",guantanamerany.com,+1 212-262-5354, Opens 12 pm
91,Electric Lemon,4.1,753,New American ,"33 Hudson Yards 24th Floor, New York, NY 10001, United States",electriclemonnyc.com,+1 212-812-9202, Opens 7 am
92,El Rio Grande,4.2,"1,141",Tex Mex ,"160 E 38th St, New York, NY 10016, United States",elriograndenyc.com,+1 212-867-0922, Opens 11 am
93,Mari Vanna,4.5,"1,403",Eastern European ,"41 E 20th St, New York, NY 10003, United States",,+1 212-777-1955, Opens 4 pm
94,Tick Tock Diner NY,4.0,"5,862",Diner ,"481 8th Ave, New York, NY 10001, United States",ticktockdinerny.com,+1 212-268-8444,
95,Inti,4.0,415,Peruvian ,"820 10th Ave, New York, NY 10019, United States",perkchops.com,+1 646-596-9216, Opens 11 am
96,Omen Azen,4.3,141,Japanese ,"113 Thompson St, New York, NY 10012, United States",azen.com,+1 212-925-8923, Opens 5 pm
97,P.J. Clarke's,4.4,"2,784",American ,"915 3rd Ave, New York, NY 10022, United States",pjclarkes.com,+1 212-317-1616, Opens 11:30 am
98,Toloache,4.4,"2,313",Mexican ,"251 W 50th St, New York, NY 10019, United States",toloachenyc.com,+1 212-581-1818, Opens 11 am
99,Chef Pnina,2.0,1,Fine Dining ,"200 Central Park S, New York, NY 10019, United States",,+1 614-669-2433, Opens 12 pm
100,LAVO Italian Restaurant,4.1,"1,720",Italian ,"39 E 58th St, New York, NY 10022, United States",taogroup.com,+1 212-750-5588, Opens 5 pm
101,PALERMO NYC ARGENTINIAN BISTRO,4.5,552,Argentinian ,"373 W 46th St, New York, NY 10036, United States",palermonyc.com,+1 212-265-2060, Opens 5 pm
102,Excuse My French,4.5,357,Tapas Bar ,"96 Orchard St, New York, NY 10002, United States",nyc.com,+1 212-780-9600, Opens 5 pm
103,BSTRO 38,4.4,"1,181",American ,"58 W 38th St, New York, NY 10018, United States",bstro38.com,+1 212-944-0990, Opens 11:30 am
104,Latin American,4.2,237,Dominican ,"29 W 26th St # 1, New York, NY 10010, United States",latinamericanrest.com,+1 212-689-2570, Opens 7 am
105,Family Meal at Blue Hill,4.6,"1,092",American ,"75 Washington Pl, New York, NY 10011, United States",bluehillfarm.com,+1 212-539-1776, Opens 5:30 pm
106,Tiny's & The Bar Upstairs,4.4,822,American ,"135 W Broadway, New York, NY 10013, United States",tinysnyc.com,+1 212-374-1135, Opens 5 pm
107,Friend Of A Farmer,4.3,"1,466",American ,"77 Irving Pl, New York, NY 10003, United States",friendofafarmer.com,+1 212-477-2188, Opens 9 am
108,Yard House,4.5,"2,059",New American ,"575 7th Ave, New York, NY 10018, United States",yardhouse.com,+1 646-434-2448, Opens 11 am
109,Au Cheval,4.5,"1,413",American ,"33 Cortlandt Alley, New York, NY 10013, United States",auchevalnyc.com,+1 646-350-2429, Opens 8 am
110,Dos Caminos,4.0,"1,840",Mexican ,"1567 Broadway, New York, NY 10036, United States",doscaminos.com,+1 212-918-1330, Opens 7 am
111,Osteria Carlina West Village,4.8,558,Northern Italian ,"455 Hudson St, New York, NY 10014, United States",osteriacarlina.com,+1 646-559-5137, Opens 4:30 pm
112,La Esquina,4.2,"2,417",Mexican ,"114 Kenmare St, New York, NY 10012, United States",esquinanyc.com,+1 646-613-7100, Opens 12 pm
